Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Cultivator / Processor / Dispensary,Nar Cannabis,Business,,,Columbus: 380-241-6151 | Delaware: 740-204-2939,https://www.narreserve.com/contact-us/,"Delaware and Columbus, Ohio",Dispensary / Retail,Source-verified,Current official location and contact pages supply direct store numbers and customer/vendor forms for the rebranded Nar Cannabis operation. Hempnotize LLC is the DCC legal entity for both exact-address licenses: Columbus CCD000124-00 at 350 E Long St and Delaware CCD000230-00 at 60 Coughlin Ln. No public direct email was found. The unrelated Nar Ironton LLC license remains separate.,https://www.narreserve.com/contact-us/ | https://www.narreserve.com/delaware/ | https://narcannabis.com/customer-contact | Ohio DCC active licensee roster (CCD000230-00; CCD000124-00),"DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Nonprofit & Advocacy,National Cannabis Industry Association,Nonprofit,Brooke Gilbert — COO; Aaron Smith — Board member / historical Ohio mixer contact,brooke@thecannabisindustry.org | Aaron@TheCannabisIndustry.org,(888) 683-5650 | (804) 502-7842 | (303) 223-4147,https://thecannabisindustry.org/category/ohio/,Ohio / United States,Nonprofit / Advocacy,Source-verified,"NCIA directly organizes Ohio industry programming. Aaron Smith stepped down as CEO effective Aug. 15, 2025 and remains on the board; Brooke Gilbert is the current COO and clean primary operational contact. Aaron is retained as historical Ohio-event provenance.",https://www.thecannabisindustry.org/press-releases/ncia-announces-leadership-transition-as-founding-ceo-steps-down-after-15-years/ | https://members.thecannabisindustry.org/events/Details/ohio-cannabis-industry-leadership-mixer-1377833,Research pass — 2026-08-14; Ohio-presence verification pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed; leadership transition confirmed effective 2025-08-15
Out of scope — flagged for removal or separate list,National Hemp Association,Nonprofit,Geoff Whaling — Chair,info@nationalhempassociation.org,202-810-4179,https://nationalhempassociation.org/,United States; no current Ohio affiliate or program identified,Nonprofit / Advocacy,Source-verified,"DISPOSITION — REFUTED for the current Ohio-scoped directory. NHA is an active national hemp nonprofit with a 2026–27 industry survey and federal policy work, but no current Ohio affiliate, representative, program or direct Ohio activity was identified. Broad national availability is not sufficient for this controlled category. Retained only as provenance/separate-list context.",https://nationalhempassociation.org/ | https://nationalhempassociation.org/standing-committee-of-hemp-organizations/ | https://nationalhempassociation.org/home-2023/,"Research pass — 2026-08-14; Ohio-presence verification pass — 2026-08-14; source pages retrieved and reviewed; Batch 11 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 11, from v54 queue), 2026-08-16; source pages retrieved and reviewed | Nonprofit issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Nectar Ohio,Business,,,419-819-4222,https://nectarohio.com/,"Bowling Green, Cincinnati (x3), Euclid and Harrison, Ohio",Dispensary / Retail,Source-verified,"Nectar's current first-party shops page and the current DCC roster align on six Ohio dispensaries, all held by Nectar Markets of Ohio, LLC: Bowling Green, Euclid, Harrison, Werk Road, Short Vine and Five Mile Road. The organizational phone/website route is used because no clearly public-facing Ohio executive is required for this directory entry.","Ohio DCC Current Roster, Nectar Markets of Ohio LLC / CCD000107-00, 113-00, 115-00, 175-00, 176-00 and 177-00 | https://nectarohio.com/shops/","Pass 2A promotion — 12 confirmed candidates, 2026-08-17; source pages retrieved and reviewed | Cultivator / Processor / Dispensary issue-resolution pass, 2026-08-22; source pages retrieved and reviewed; DCC roster checked"
Banking & Financial Services,Needham Bank,Business,,,781-444-2100,https://www.needhambank.com/business/cannabis-banking,United States — nationwide,Banking / Financial Services; Bank,Source-verified,"Current first-party cannabis-banking page states service across the United States, including treasury/cash management, compliance support, national coin and currency, and expansion capital. Confirm Ohio onboarding and product terms directly.",https://www.needhambank.com/business/cannabis-banking | https://www.needhambank.com/contact,"Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Real Estate / Build-Out,NEXT architecture,Business,Alexis J. Teny — Marketing and Business Development Manager,info@next-architecture.net,412-681-1145,https://www.next-architecture.net/office.html,Ohio project experience | Pittsburgh-based,Real Estate / Build-Out; Architecture / Engineering,Source-verified,Pure Ohio Wellness — East Palestine remains a documented cannabis project; Pure Ohio Wellness is also an entry in this Directory.,https://www.next-architecture.net/pure-ohio-wellness-next-architecture.html,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed"
Packaging & Labeling,Niagara Label,Business,Tina Lemley — Account Manager,,877-411-2826 | 716-542-3000,https://www.niagaralabel.com/contact-us,Ohio market | United States,Packaging / Labeling; Printing / Labels,Source-verified,Current company page specifically markets compliant cannabis labels into Ohio — firm and Ohio service both confirmed.,https://www.niagaralabel.com/custom-label-printing-services-ohio | https://www.niagaralabel.com/meet-the-team,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 9 audit, 2026-08-15; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Nirvana Center Dispensaries,Business,Leah Helleis — General Manager,elyria.oh@nirvanacenter.com,440-309-2102,https://ohio.nirvanacannabis.com/contact/,"Elyria, Ohio (Northeast Ohio)",Cannabis Operator; Dispensary / Retail,Source-verified,"The current official Ohio contact page supplies a direct Elyria email and phone. This is an Elyria-specific Ohio operation under CREAM Apothecaries Ohio LLC, not a statewide footprint.",https://ohio.nirvanacannabis.com/contact/ | Ohio DCC active licensee roster (CCD000041-00),"Organizations | Speakers | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed"
Marketing & Media,NisonCo,Business,Evan Nison — Founder & President,info@nisonco.com,877-647-6626 (877-NISONCO),https://nisonco.com/,United States nationwide,Marketing / Media,Source-verified,"Current long-running cannabis PR/marketing firm; nationwide positioning holds. No Ohio-specific client history is published, and none is claimed here — stated rather than invented.",https://nisonco.com/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Nonprofit & Advocacy,NORML,Nonprofit,Randy Quast — Acting Executive Director,chapters@norml.org | norml@norml.org,(202) 483-5500,https://norml.org/contact-us/,Ohio / United States,Nonprofit / Advocacy,Source-verified,"NORML's official directory lists Ohio NORML. No direct Ohio chapter email is displayed; the national chapter-inquiries address is the verified routing path. NORML is simultaneously searching for its next permanent ED — ""Acting"" preserved deliberately.",https://norml.org/about/ohio-chapters/ | https://norml.org/laws/ohio-penalties-2/,"Research pass — 2026-08-14; Ohio-presence verification pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed"
Testing Labs,"North Coast Testing Laboratories, LLC",Business,,,234-212-1860,https://www.northcoasttestinglabs.com/,Statewide / Streetsboro / Northeast Ohio,Cannabis Testing; Compliance Testing; Potency Testing; Microbial Testing; Mold / Microbial,Source-verified,"Full-service Ohio cannabis testing laboratory. Verified against the current Ohio DCC testing-laboratory roster: dual-use laboratory holding a Certificate of Operation under licence CCL000014-00. ISO/IEC 17025 accreditation claim REMOVED — the A2LA certificate located is marked withdrawn and expired in 2023, and no current active certificate was found. Do not describe this lab as currently ISO-accredited without a live certificate. Capability note: microbial and potency testing are tagged for every DCC-licensed laboratory because they form part of the state-mandated compliance panel every licensed lab must run — this is inferred from licensure, not from the lab's own marketing. Confirm the full test menu and any specialist capability directly. No named individual contact published/found — organizational contact route above is the best current public route.",https://a2la.org/a2la-accredits-north-coast-analytical-laboratories-and-north-coast-testing-laboratories-to-iso-iec-17025/ | https://elicense.com.ohio.gov/s/licensesearch | https://com.ohio.gov/divisions-and-programs/cannabis-control/about-dcc/licenses/testing-labs,"Research pass — 2026-08-14; QA'd 2026-08-14; licence verified against Ohio DCC roster — 2026-08-15 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Northwoods Cannabis,Business,Brad Schultz — Co-founder / CFO | Brett Etengoff — CEO | Nick Napior — Managing Member,info@northwoodscultivation.com,248-877-9443,https://northwoodscultivation.com/contact,"Clyde, Ohio cultivation and processing; statewide wholesale",Cannabis Operator; Cultivation; Processing; Wholesale,Source-verified,"Current reporting and hiring exactly match Northwoods Cannabis to the 180 Premier Dr, Clyde facility, where NEN Holdings LLC holds active cultivation CCC000051-00 and processor CCP000017-00 credentials. The roster also shows provisional dispensary CCD000310-00 at 6111 E Main St, Columbus, but no current operating DBA is established there; keep that license reconciliation-only. The published phone and email are Northwoods corporate routes.","https://northwoodscultivation.com/contact | https://medicateoh.com/featured/from-traverse-city-to-the-buckeye-state/ | Ohio DCC Current Roster, NEN Holdings LLC / CCC000051-00, CCD000310-00 and CCP000017-00","DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Cultivator / Processor / Dispensary,Off The Charts Dayton,Business,,,937-952-5039,https://otcdispo.com/,"Dayton, Ohio",Dispensary / Retail,Source-verified,"The current 2026 first-party site confirms Off The Charts at 3145 Salem Ave, Dayton under active license CCD000101-00 held by OTC Ohio LLC. A 2025 acquisition report said King City Gardens intended to rebrand the store as The Garden, but current public identity remains Off The Charts, so this row preserves the usable storefront name and cross-references King City. OTC Ohio's second credential, CCD000183-00 at 2010 E Waterloo Rd, Akron, remains provisional with no operating DBA and is not counted as a location.","https://otcdispo.com/ | https://medicateoh.com/featured/king-city-introduces-the-garden-dispensary-a-new-cannabis-destination-in-dayton-ohio/ | Ohio DCC Current Roster, OTC Ohio LLC / CCD000101-00 and CCD000183-00","DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Nonprofit & Advocacy,OHCANN (Ohio Cannabis Coalition),Nonprofit,Adrienne Robbins — Deputy Executive Director | David Bowling — Executive Director,ohcanninfo@ohcann.com,,https://ohcann.com/contact/,Statewide / Multi-Market,Nonprofit / Advocacy; Patient Advocacy,Source-verified,"Confirmed: Ohio Cannabis Coalition, Ohio's leading cannabis trade association representing licensed cultivators, processors, dispensaries and testing labs. ALIAS — do not create a separate row: Ohio Medical Cannabis Industry Association (OMCIA, ohiomcia.com) is this organization's former name. OHCANN's own history confirms the succession and nonprofit records treat OMCIA, Ohio Medical Cannabis Industry Association and Ohio Cannabis Coalition as aliases of the same entity. The current first-party general inbox and contact form are the preferred outreach routes.",https://ohcann.com/ | https://ohcann.com/contact/ | https://ohcann.com/membership/,"IgniteIt Network | Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Nonprofit & Advocacy outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Nonprofit & Advocacy,Ohio Cannabis Association,Nonprofit,,,614-591-4210,https://ohiocannabisassociation.com/,Ohio,Nonprofit / Advocacy; Patient Advocacy; Policy Advocacy,Source-verified,DISPOSITION — CONFIRMED for inclusion as an Ohio cannabis trade/advocacy association. The live site publishes organizational phone routes but retains substantial 2017-era program language and no current named leadership. Exact federal tax classification is UNRESOLVABLE from reliable public sources; do not describe OCA as a specific 501(c) class or use its site as current regulatory authority.,https://ohiocannabisassociation.com/ | https://ohiocannabisassociation.com/about-ohio-cannabis-association/ | https://ohiocannabisassociation.com/contact-ohio-cannabis-association/,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed | Nonprofit issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ohio Cannabis Company,Business,Brian Wingfield — Co-Founder | Cindy Bradford — Co-Founder & CEO | Zach Bradford — Co-Owner,info@occdispensary.com | michele@occdispensary.com,Piqua: 937-641-0620 | Columbus: 614-502-3015 | Canton: 330-409-9577,https://occdispensary.com/locations/,"Canton, Columbus, Dublin, Piqua and Upper Sandusky/Harpster; Canal Winchester coming soon",Cannabis Operator,Source-verified,"Consolidated the duplicate legal-name record from row 471. Ohio Cannabis Company is the consumer brand of The Green Goat Dispensary, LLC. The current official site shows five open locations and Canal Winchester coming soon; the DCC roster lists five certificates of operation plus the Canal Winchester provisional license. The former Coshocton store is historical and is not counted as current.","https://occdispensary.com/locations/ | https://occdispensary.com/contact/ | Ohio DCC active licensee roster (The Green Goat Dispensary, LLC; CCD000018-00, 026-00, 037-00, 235-00, 243-00, 270-00)","IgniteIt Network | Organizations | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed; duplicate/legal-name consolidation"
Out of scope — flagged for removal or separate list,"Ohio Cannabis Company (The Green Goat Dispensary, LLC)",Business,Brian Wingfield — Co-Founder; Cindy Bradford — Co-Founder & CEO,,,,Duplicate/legal-name provenance; current consumer record consolidated to row 24,Dispensary / Retail,Source-verified,"Moved out of the publishable operator category as an exact duplicate of Ohio Cannabis Company at row 24. Founders, DCC legal-entity lineage, license coverage and current location status were merged into row 24. The former Coshocton store remains historical and is not counted as current. This row is retained only for audit provenance.","Ohio DCC active licensee roster (The Green Goat Dispensary, LLC; CCD000018-00, 026-00, 037-00, 235-00, 243-00, 270-00)","Full roster coverage gap scan, 2026-08-17; source pages retrieved and reviewed; roster-verified | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed; duplicate consolidation"
Real Estate / Build-Out,Ohio Cannabis Design Solutions,Business,,shop@omegastore.com,833-531-6565,https://www.ohiocannabisdesignsolutions.com/,Ohio,Real Estate / Build-Out; HVAC / Climate Control; Cultivation,Source-verified,"Current, Ohio-specific, operated by Omega Equipment & Supply. No named individual contact published/found — organizational contact route above is the best current public route. ENTITY CLARIFICATION: this is not a standalone corporate entity — its own About page describes it as a co-marketing collective operated and managed by Omega Equipment & Supply. Organizational routing through Omega is the structurally correct treatment, not a placeholder.",https://www.ohiocannabisdesignsolutions.com/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Events & Expos,Ohio Cannabis Health & Business Summit,Business,Lenny Berry — Founder,support@ochbs.com,,https://ochbs.com/,Columbus / Central Ohio,Events / Expos; Cannabis Business Conference; Education; Exhibitors; Sponsorships; Industry Networking; Policy,Source-verified,"The Ohio Cannabis Health & Business Summit is scheduled for September 23–24, 2026 at the Greater Columbus Convention Center. The official site lists 109 exhibitors, 81 speakers and 54 sponsors and retains support@ochbs.com as the direct contact route. Founder Lenny Berry remains confirmed.",https://ochbs.com/ | https://ochbs.com/events/,"IgniteIt Network | Organizations | Speakers | Batch 3 audit, 2026-08-15; source pages retrieved and reviewed | Events & Expos research pass — 2026-08-22; source pages retrieved and reviewed | Events currency QA — 2026-08-22; source pages retrieved and reviewed"
Events & Expos,Ohio Cannabis Live / Ohio Cannabis Expo,Business,Anthony D. Riley — CEO / Founder,info@ohiocannabisexpo.com,740-217-6722,https://www.ohiocannabisexpo.com/,Portsmouth / Southern Ohio,Events / Expos; Cannabis Education; Industry Networking; Home Grow; Legislative Updates; Veterans; Recovery,Source-verified,"The 2026 Ohio Cannabis Expo was held July 24, 2026 at the Scioto County Welcome Center in Portsmouth. Ohio Cannabis Live is founded by Anthony D. Riley and operated by Another Mastamynd Hit LLC. The free 21+ program covered legislation, home grow, recovery and veteran outreach; no cannabis sales or consumption were permitted. No 2027 edition was announced as of 2026-08-22; use the official site for the next-edition contact route.",https://www.ohiocannabisexpo.com/ | https://www.ohiocannabisexpo.com/faq,"IgniteIt Network | Organizations | Speakers | Warm Contacts | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed | Events & Expos research pass — 2026-08-22; source pages retrieved and reviewed | Events currency QA — 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ohio Clean Leaf,Business,Robert Landis — Owner,,740-808-1205,https://ohiocleanleaf.com/,"Dayton, Ohio",Cannabis Operator; Cultivation,Source-verified,Ohio DCC lists Ohio Clean Leaf LLC as a Dual Use Cultivator Level II.,https://www.marijuanamoment.net/ohio-regulators-issue-provisional-marijuana-licenses-to-dozens-of-businesses-readying-imminent-launch-of-adult-use-sales/ | https://www.ohiohouse.gov/legislation/134/sb261/committee | https://www2.jlec-olig.state.oh.us/olac/Reports/Agents/6868/Employers,"Organizations | Batch 3 audit, 2026-08-14; verified against the DCC roster"
Out of scope — flagged for removal or separate list,Ohio Division of Cannabis Control,Business,Andrew Makoski,,,,,Reference / Out of Scope; Government / Regulator,Source-verified,"Ohio's cannabis regulator, not a commercial provider. Moved out of scope for consistency with the same call already made on the Ohio House and Ohio Senate. Retain as a reference and warm-contact record (Andrew Makoski, IgniteIt Network connection); exclude from the shareable provider directory.",https://www.cannabismarketspotlight.com/ohio/home,"IgniteIt Network | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ohio Green Systems,Business,Brent Evans — associated with the processor operation,brent@ohiogreensystems.com,,https://ohiogreensystems.com/about/,"Garfield Heights, Ohio",Cannabis Operator; Processing,Source-verified,"Reclassified out of Technology: Ohio DCC lists Ohio Green Systems LLC as a Dual Use Processor (8100 Old Granger, Garfield Heights). Independently confirmed via Crain's Cleveland Business's official dual-use license list and the company's own site — this reverses an earlier low-confidence guess of ""Technology"" made when this entry was first categorized.",https://ochbs.com/ | https://ohiogreensystems.com/contact/,"Organizations | Batch 3 audit, 2026-08-14; verified against the DCC roster; independently re-confirmed by Claude, 2026-08-15"
Nonprofit & Advocacy,Ohio Healthy Alternatives Association,Nonprofit,Mo Dayem — public/legislative representative for OHHAA,info@ohhaa.org,(888) 556-2287,https://www.ohhaa.org/,Ohio,Nonprofit / Advocacy; Policy Advocacy,Source-verified,"DISPOSITION — CONFIRMED. OHHAA is a current Ohio hemp trade/advocacy association with 2025–26 policy activity, member litigation and public action resources. Exact federal exemption class is UNRESOLVABLE from reliable public sources. Its donation page's tax-deductibility language is not independently verified; do not state a specific 501(c) class or deductibility without an IRS determination or receipt. Mo Dayem remains listed only as a documented public/legislative representative, not with an invented officer title.",https://www.ohhaa.org/ | https://www.ohhaa.org/blogs/news | https://www.ohhaa.org/pages/contact-ohio-healthy-alternatives-association | https://www.news5cleveland.com/news/local-news/investigations/businesses-sue-ohio-gov-dewine-over-ban-on-intoxicating-hemp-delta-8-products,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed | Nonprofit issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Ohio Hemp Growers Association,Nonprofit,,,,https://ohiohempgrowers.com/,Ohio,Nonprofit / Advocacy; Education / Research; Policy Advocacy,Source-verified,"Current site describes OHGA as a nonprofit organization founded in 2019, providing education, cultivation resources, industry connections and regulatory advocacy for Ohio hemp farmers and entrepreneurs. Exact IRS classification remains unverified; current leadership claims should be independently corroborated before import. ENTITY LEGITIMACY FLAG — escalated, not merely unresolved. Independently checked directly: the site's own ""About"" page lists six leadership bios by first name only (John, Emma, Michael, Sarah, David, Karen) — no surnames, no verifiable specifics, no independently findable individuals anywhere else online. The bios read as generic template copy (""John brings strategic vision,"" ""Emma has been growing hemp since the program's inception"") rather than real staff descriptions. This pass separately found the domain itself listed for sale at $50,000+. Combined, this is stronger evidence than a normal ""stale/under-researched"" flag: it raises a real question of whether this is a genuine operating nonprofit at all, versus a placeholder or SEO/lead-gen site built to look like one. Recommend a decision — keep flagged as unverified, or move out of scope like One Bond Laboratories — rather than treating this as an ordinary open contact-research row. FINAL DISPOSITION: moved out of scope rather than left open indefinitely. This is now the second independent research pass to flag the same problem — a domain-for-sale Contact page (asking $50,000+) alongside leadership bios (""John,"" ""Emma,"" ""Michael,"" ""Sarah,"" ""David,"" ""Karen"" — first names only, generic template copy) that no independent source, including Ohio-government or credible organizational records, corroborates. Two separate research passes plus this Directory's own direct check of the site all converge on the same conclusion: there is no verifiable evidence this represents a genuine operating nonprofit, as distinct from a placeholder or SEO/lead-gen site built to resemble one. Handled the same way as One Bond Laboratories — retained as a record with full provenance rather than deleted, excluded from the publishable count, so a future pass does not re-research or re-add it without new evidence.",https://ohiohempgrowers.com/about | https://ohiohempgrowers.com/ | https://ohiohempgrowers.com/contact | https://ohiohempgrowers.com/events,"Research pass — 2026-08-22; source pages retrieved and reviewed | Out-of-scope disposition cleanup, 2026-08-23; leadership, events and domain-sale contact claims rechecked"
Out of scope — flagged for removal or separate list,Ohio House of Representatives,Business,"Dontavius L. Jarrells — Ohio State Representative, District 1 | Eric Synenberg — Ohio State Representative, District 21",,,https://ohiohouse.gov/,Ohio statewide; policy-contact provenance only,Reference / Out of Scope,Source-verified,"FINAL DISPOSITION — out of scope. The Ohio House is a current government body, and Dontavius Jarrells and Eric Synenberg are corroborated in current official House material. It is not a service provider, operator or nonprofit. Retain only in policy-contact/provenance tracking and exclude from the shareable provider directory.",https://ochbs.com/speakers/ | https://ohiohouse.gov/members/dontavius-l-jarrells/news/rep-synenberg-justices-donnelly-and-brown-call-for-restoration-of-ohios-judicial-endorsement-rule-145358,"Organizations | Speakers | Confirmed via Batch 3 audit, 2026-08-14 | Out-of-scope disposition cleanup, 2026-08-23; current Ohio House material reviewed"
Nonprofit & Advocacy,Ohio Justice & Policy Center,Nonprofit,Second Chance Project,secondchance@ohiojpc.org,513-421-1108,https://ohiojpc.org/,"Ohio statewide — Cincinnati, Columbus and Cleveland offices",Nonprofit / Advocacy; Criminal Justice Reform; Expungement / Record Sealing; Legal Services; Policy Advocacy,Source-verified,"Ohio 501(c)(3) nonprofit law firm providing free legal services and statewide criminal-justice advocacy. Its Second Chance work includes record sealing and expungement, and its published policy work specifically identifies expungement as the appropriate remedy for old cannabis convictions. Included as cannabis-justice and expungement infrastructure, not as a cannabis-industry organization.",https://ohiojpc.org/ | https://ohiojpc.org/wp-content/uploads/2024/08/2023_Annual_Report_FINAL-online-version.pdf,Research pass — 2026-08-22; source pages retrieved and reviewed
Nonprofit & Advocacy,Ohio Medical Marijuana Physicians Association,Nonprofit,,,513-602-7801,https://ommpa.com/,Ohio,Nonprofit / Advocacy; Education / Research; Policy Advocacy,Source-verified,"DISPOSITION — CONFIRMED. OMMPA is active in 2026, with a June national CME symposium, a July monthly physician meeting, membership and guest-attendance routes, and a current organizational phone line. Exact IRS/tax-exempt classification is UNRESOLVABLE from reliable public sources; the Directory's Nonprofit label denotes a noncommercial professional association, not a verified 501(c) status.",https://ommpa.com/ | https://ommpa.com/june-28-cme-symposium | https://ommpa.com/guest-attendance,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed | Nonprofit issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Ohio Senate,Business,"Shane Wilkin — Ohio State Senator, District 17",,,https://ohiosenate.gov/members/shane-wilkin,Ohio statewide; policy-contact provenance only,Reference / Out of Scope,Source-verified,"FINAL DISPOSITION — out of scope. Shane Wilkin’s current Senate District 17 role is confirmed by the official Ohio Senate. The Senate is a government body, not a service provider, operator or nonprofit. Retain only in policy-contact/provenance tracking and exclude from the shareable provider directory.",https://www.cannabismarketspotlight.com/ohiovalley | https://ohiosenate.gov/members/shane-wilkin | https://ohiosenate.gov/members/shane-wilkin/biography,"IgniteIt Network | Out-of-scope disposition cleanup, 2026-08-23; current Ohio Senate member and biography pages reviewed"
Events & Expos,Ohio Valley 4/20 Cannabis Festival and Ohio Valley Cannabis Cup,Business,Bill Schmitt Jr.,theholisticcloud@gmail.com,740-310-3239,https://www.facebook.com/groups/1177728024082676/,Cadiz / Jacobsburg / Eastern Ohio,Events / Expos,Source-verified,"The Ohio Valley 4/20 Canna Fest was held April 17–21, 2026 in the Cadiz area; official listings identify Bill Schmitt Jr. as organizer. Independent reporting also confirms Schmitt as owner of The Holistic Cloud and organizer of the September 2025 Ohio Valley Cannabis Cup. No 2027 edition was announced as of 2026-08-23. Belmont County’s official tourism organizer listing publishes theholisticcloud@gmail.com and 740-310-3239, with the municipal business directory corroborating the phone; these are the direct organizer-business routes.",https://www.facebook.com/events/holistic-acres-event-center-llc/ohio-valley-420-canna-fest/901769222305625/ | https://www.facebook.com/events/ohio-valley-420-canna-fest/804966488669481/ | https://www.theintelligencer.net/life/out-about/2025/09/ohio-valley-cannabis-cup-brings-live-music-and-more/ | https://www.visitbelmontcounty.com/organizer/the-holistic-cloud/ | https://villageofbellaire.org/businesses/retail/,"Events & Expos research pass — 2026-08-22; source pages retrieved and reviewed | Events currency QA — 2026-08-22; source pages retrieved and reviewed | Events & Expos outreach-enrichment pass, 2026-08-23; organizer-business email and phone verified"
Cultivator / Processor / Dispensary,Ohio Valley Natural Relief LLC (dba Greenlight Dispensary — see Greenlight Dispensary entry),Business,,,Wintersville: 740-792-4267 | Ironton: 740-547-0015,https://ohio.greenlightdispensary.com/locations/wintersville/,"Wintersville and Ironton, Ohio — legal-entity cross-reference; see Greenlight Dispensary",Cannabis Operator; Dispensary / Retail,Source-verified,Current DCC roster confirms OHIO VALLEY NATURAL RELIEF LLC holds active Wintersville and Ironton dispensary licenses; Greenlight's current first-party location pages confirm both addresses under the Greenlight brand. This is not a separate current operator and remains only as a legal-name/alias cross-reference. OUTREACH RESULT: mike@ovnrllc.com permanently failed on 2026-08-18 because ovnrllc.com had no DNS/MX route; the address remains removed. Use the current Greenlight phone or contact route.,"https://ohio.greenlightdispensary.com/locations/wintersville/ | https://greenlightdispensary.com/locations/ | Ohio DCC Current Roster, OHIO VALLEY NATURAL RELIEF LLC / CCD000110-00 and CCD000267-00","Organizations | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Gmail outreach bounce reconciliation, 2026-08-22; delivery diagnostics reviewed | Cultivator / Processor / Dispensary issue-resolution pass, 2026-08-22; source pages retrieved and reviewed; DCC roster checked"
